상품명,별점,리뷰 제목,리뷰 내용,카테고리1,카테고리2
"키즈바인더 초등 다이어리 6개월 플래너 마이 드림 메이트 + 스티커 2종 세트, 핑크, 플래너(A5), 스티커(B6), 1세트",5,아이 새학기 선물로 최고! 너무 좋아해요!☺️,"이제 초등학교 3학년 들어가는 딸이
다이어리를 갖고 싶어해서 선물해줬어요!
디자인부터가 핑꾸핑꾸해서 넘 예쁘다고
꼭 안고서 좋아하네요^^♡
딱 이 나이대 아이들이 쓰기에 적합하게 잘 꾸며져 있어요~
마침 방학이라 예쁜 다이어리에
자기스스로 계획짜고 꾸미면 동기부여 뿜뿜 할 거 같아요.
지금 열심히 다이어리 적고 있는데
자기 꿈도 적고 앞으로 미래의 자기자신의 장래희망이나
하고싶은거 이루고싶은 것들도 생각해볼 수 있는 계기를 만들어주는 좋은 선물같아요!
시켜서 일기쓰는건 싫어하는데
자기만의 다이어리에 자기 기록 남기는 건
좋아하니, 일기쓰기 싫어하는 아이에게도 일기쓰는 습관 잡는데 좋겠어요^^
스티커도 있어서 자기 나름 꾸미는 재미도 있고.
오늘 하루는 이 다이어리 하나로 행복하게 보낼 수 있겠어요!",문구/오피스,다이어리/플래너
"포멀비 키즈 3in1 유아 올인원 샴푸+컨디셔너+바디워시 대용량 복숭아향, 1L, 1개",5,복숭아향. 투명한 묽지않은 올인원 바디워+샴푸.,"투명한 색. 묽지 않은 적당히 쫀쫀한 제형 .
첨에 샀을 때 아이들 씻겨주려고
거품낸 손을 갖다대니 음~!복숭아향! 너무좋아!
그러더라구요~ 향은 일단 만족.♡
거품도 잘 나서 잘 씻겨짐. 세정력 만족♡
뭐가 샴푸인지 뭐가 바디워시인지 헷갈려서
바꿔서 씻길때도 있고 그랬는데
이건 머리부터 발끝까지 올인원으로 한번에
해결되니까 너무 편해요! 편리함 만족♡
근데 올인원이다 보니 머릿결은 씻기고 나면
조금 뻣뻣하네요~
그래도 이거 쓰고 트러블나거나 두드러기같은거 안나고
(둘째가 피부 민감한 편임) 많이 건조해지지도 않고
한달째 문제없이 잘 쓰고있어요.
용량도 크고 가격도 괜찮고 가성비 괜찮은 제품입니다^^",출산/유아동,출산준비물/선물
"PKFARM 물빠지는 다용도 목욕바구니 화이트, 1개",5,물건도 많이 담기고 물빠지는 구멍이 많아서 좋아요.,"헬스장 샤워장에서 쓰려고 구매했는데
들고다니기에 무난한 디자인과 컬러.
크기도 적당히 커서 여러필요한 물건 다 넣고 다닐수있어요!
물빠지는 구멍도 아래, 옆 네면이 다 뽕뽕 뚫려있어서
물도 잘빠지구요.
바구니 자체는 가볍고
무거운거 넣고 다녀도
손잡이 빠지거나 하지않고 튼튼하네요.
만족합니다♡",생활용품,욕실용품
"참그린 순수발효 곡물 주방세제, 1.2L, 2개",5,"거품도 잘나고 향도 무난, 기름때도 잘 없어져요~","전 향이 너무 강한 퐁퐁을 싫어하는데
이건 찰현미, 흑미, 보리를 이용한 곡물향이 나서
사용하고나면 찝찝하지 않아요~
예전에 샀던 다른 제품 용기에 계속 덜어 쓰고 있는데
참그린 순수발효만 계속 쓰고있어요~
묽지도 않고 적당히 찐득한 제형에
거품도 잘나고
기름기 제거도 잘되서 설거지 할 때 기분좋아요^^",싱글라이프,세제/화장지
"조르단 어린이 칫솔 스텝 3단계, 랜덤 발송, 1개입, 6개",5,아이들이 제일 좋아하는 칫솔이에요!부드럽고 잘닦임.,"여러 칫솔들을 다양하게 써봤는데
아이들이 2080 칫솔은 좀 뻣뻣한 느낌이 있어서
세게 닦으면 좀 아프데요~
근데 조르단 칫솔은 적당히 부드러워서
잘 닦이면서 아프지않아요~

크기도 6세 9세 아이둘 한테 다 적당하고
아이들도 이 칫솔이 가장 좋다고해요!
디자인도 색상도 핑크에다 유니콘이 그려져 있어서
맘에 들어해요^^

좋은 칫솔 만들어 주셔서 감사합니다~!",출산/유아동,욕실용품/스킨케어
"오뚜기 스위트콘 통조림, 198g, 1개",5,너무 맛있어서 요리에 못 넣고 다 퍼먹어버렸어요ㅠㅠ,"감자샐러드 할 생각으로 구매했는데
너무 작은 걸 샀나봐요.
198g이 이렇게 작은 건지 몰랐네요ㅠ
딸이 먹고 싶어해서 한숟가락씩만 먹자~ 하고
먹었는데 저도 그렇고 딸도 그렇고 넘 맛있어서
멈출수가 없어서 다 먹어버렸어요~
국물까지 마시려고 하는 걸 제가 막았답니다.
암튼 오뚜기 스위트콘 너무 맛있어요~^^",식품,반찬/간편식/대용식
"곰곰 유기농 녹즙용 케일, 500g, 1개",5,엄청 큰 케일. 싱싱하고 쥬스 갈아먹으니 좋네요^^,"케일 500g이라고 해서 작은 건 줄알았는데
배송 온 거 뜯어보고 너무 커서 깜짝 놀랐어요.
선녀가 들고있는 부채같아요ㅋㅋ
케일 처음으로 사서 쥬스로 갈아 먹어봤는데
맛도 있고 건강에도 좋으니
앞으로 꾸준히 먹어주려구요~
케일 상한 부분없이 정말 싱싱하네요!

♡맛있는 케일 쥬스 만드는 법♡
키위1개+파인애플 슬라이스 한조각+사과 1/4개+케일 한장.
물 200ml 넣고 믹서기에 갈아 먹으니 맛있어요!

☆케일의 효능☆
1.높은 칼슘함량으로 골다공증 예방.
2.베타카로틴 성분이 활성산소로부터 세포의 산화를 방지하여
노화를 늦추는 효과.
3.루테인, 글루코시놀레이트, 클로로필 등의 성분이 다량 함유되어 암을 예방하는데 도움.
4.높은 필수 비타민과 미네랄 함량.
5.기관지염 완화",식품,채소
"잘풀리는집 천연펄프 키친타올 130매, 6개",5,먼지도 안날리고 잘닦여요~,"키친타올 없으면 살림할 때 너무 아쉬워요.
휴지있으면 키친타올 필요 없을 거 같은데
휴지로는 안되는 키친타올의 용도가 많습니다!

일단
1. 요리할 때 재료 물기 제거.
2. 고무장갑 꼈다 벗었다 다시 낄 때 손 물기 닦기.
3. 손 물기 닦은 거 버리지않고 그걸로 주변 청소.
4. 후라이팬 기름 닦기.
5. 건조기 먼지 필터 닦기.

전 이 용도들로 하루에도 여러번 키친타올을
애용하게 되더라구요~
먼지가 날리면 쓸 때 찝찝한데
이건 먼지도 안날리고 기름 흡수도 잘 되네요~
좋아요!^^",주방용품,일회용품/종이컵
"사조 살코기 참치 안심따개, 100g, 4개",5,따기도 편하고 기름도 적어져서 먹기 더 좋네요~,"반찬 걱정 덜어주는 참치 통조림!
100g이라서 양이 좀 작게 느껴졌는데
요리해서 먹으니 양보다는 맛이있어서 만족♡
예전에 참치캔에 참치는 기름이 더 많았던 거 같은데
요번에 기름기 빼보니까 기름도 그렇게 많지않고
김치찌개에 그냥 그 기름으로 김치볶아서 찌개끓였더니
맛있어요

기름기 쪽 빼서 참치마요덮밥도 해먹고,
나중에 참치김밥도 싸먹고, 참치전도 해먹고, 참치넣은 샌드위치도 만들어먹으려구요~!
여러모로 활용도가 많은 참치 좋아요~~♡",싱글라이프,반찬/간편조리식품
"유리아쥬 스틱 레브르 립밤, 4g, 10개",5,립밤중에 최고 촉촉하고 지속력도 오래가는 유리아주 최고,"입술이 크고 두꺼운데다
정말 잘 트는 체질이라
립밤없으면 건조한 가을 겨울을
보낼 수가 없었어요.

예전엔 입술이 건조해서 웃다가
입술 찢어지는 일도 많았고,
꿀을 바르고 랩을 붙이고 자보기도 하고
영양크림을 듬뿍 발라보기도 하고
바셀린을 듬뿍 얹고자고
많은 노력을 했지만
그걸 평상시에 꾸준히 유지하기가 힘들잖아요ㅠ
하지만 유리아쥬덕분에 이제 간단하게 해결되었어요!
다른 립밤제품들 여러가지 써봐도
바를 땐 촉촉해도 이거만큼 지속력이 좋은건 없었어요.
그리고 향도 약간 은은한 좋은 향이 나면서
거부감 없이 거의 무취에 가깝고,
색도 색소같은거 안들어 있는 아이보리색이라
입술피부에 좋을 거 같은 느낌이에요!
요번에 대량 구매해서 온가족 다 하나씩 들고다니고
집에도 이방저방 하나씩 놔두고 수시로 발라줍니다~
유리아쥬덕분에
가뭄나던 입술에 촉촉함이 내리네요
입술건조하신분들 꼭 사세요!
감사합니다♡",뷰티,메이크업
